,Turbine,Date & Time,WTG-B (2.82-FDR 2A) - (GRID) OPERATING TIME,WTG-B (2.82-FDR 2A) - BLADE 1 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 1 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - SET VALUE,WTG-B (2.82-FDR 2A) - DOWN TIME,WTG-B (2.82-FDR 2A) - EXPECTED POWER,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE INTERMEDIATE SHAFT GENERATOR SIDE (ROTOR SIDE),WTG-B (2.82-FDR 2A) - POWER,WTG-B (2.82-FDR 2A) - PRODUCTION,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR BEARING 2 TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR SPEED (PLC),WTG-B (2.82-FDR 2A) - STATE AND FAULT,WTG-B (2.82-FDR 2A) - GENERATOR OUTBOARD BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - HUB TEMPERATURE,WTG-B (2.82-FDR 2A) - SHAFT BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - TIP SPEED,WTG-B (2.82-FDR 2A) - TIP SPEED RATIO,WTG-B (2.82-FDR 2A) - TOWER ACCELERATION,WTG-B (2.82-FDR 2A) - WIND DIRECTION,WTG-B (2.82-FDR 2A) - WIND SPEED,WTG-B (2.82-FDR 2A) - YAW DEVIATION
2018,WTG-B,04-Oct-21 00:10:00,4794098,76.30627441,76.23403168,76.24040985,76.16847992,76.11273193,76.04051208,1601933,11.83822918,-3278.5,-13.42675877,1658168,57.81755066,-3.700000048,0.047207862,RunUp,33.68247604,29.75611687,38.72398376,0.313918322,0.237958953,11.27744389,152,1.315358758,17.07970047
2162,WTG-B,05-Oct-21 00:10:00,4840818,-0.57348305,-0.401995093,-0.811249971,-0.583408535,-1.110048056,-0.937573969,1601933,1402.439209,-3278.5,859.7911377,1664071,58.66843414,-3.700000048,9.695837021,OnLine,22.52024841,28.98124886,45.51899338,64.47444916,8.533157349,73.61611176,138,7.501021862,9.518112183
2306,WTG-B,06-Oct-21 00:10:00,4884383,8.14453125,7.614262104,8.150743484,8.310563087,5.514530659,5.545033932,1601933,2819.899902,-3278.5,2787.955322,1669162,67.762146,-3.700000048,13.56156731,OnLine,32.04543686,29.08491898,46.5,90.18041229,6.87004137,181.2723999,100,13.01691341,5
2450,WTG-B,07-Oct-21 00:10:00,4931968,-0.590987802,-0.588738739,-0.767963529,-0.770152152,-1.11947453,-1.124317527,1601933,1274.514893,-3278.5,985.6706543,1679093,61.23246765,-3.700000048,10.01911736,OnLine,20.74728584,26.82246208,43.5175705,64.8438797,9.165827751,42.81232452,145,7.252969265,1
2594,WTG-B,08-Oct-21 00:10:00,5017730,-0.630478084,-0.525257766,-0.815533042,-0.706671178,-1.113599896,-1.060836673,1601933,1485.55249,-3278.5,1786.67334,1712568,66.69889832,-3.700000048,12.22354031,OnLine,30.1781292,31.67741013,53.00780487,82.27402496,10.6163969,123.9931412,152,7.662004948,10
2738,WTG-B,09-Oct-21 00:10:00,5104352,8.219023705,8.22387886,8.038899422,8.038003922,7.688946247,7.686534882,1601933,2819.24585,-3278.5,2488.378418,1742667,67.97844696,-3.700000048,13.42421722,OnLine,38.52161026,33.91631317,52.3935051,88.72148895,6.44893074,139.7909698,193,13.91632938,1.073304415
2882,WTG-B,10-Oct-21 00:10:00,5190966,8.575865746,8.799178123,7.994340897,7.950471878,8.62942028,8.550948143,1601933,2787.481934,-3278.5,2371.599365,1800922,67.80000305,-3.700000048,13.51934338,OnLine,39.62185287,33.86736679,53.34572601,89.48903656,7.257079601,167.1950684,186,12.42117596,1
3026,WTG-B,11-Oct-21 00:10:00,5274536,14.44742393,14.15312767,16.49056816,16.39469719,14.17692089,14.63474464,1601933,2820,-3278.5,2231.803955,1841090,66.5,-3.700000048,13.30892372,OnLine,24.85508919,20.09825325,45.76319885,90.17851257,4.993349552,182.0018768,16,17.69223404,5.822969437
3170,WTG-B,12-Oct-21 00:10:00,5349056,2.245295286,2.247476101,2.065845728,2.066062689,1.713098049,1.711897373,1601933,2629.329834,-3278.5,2668.212402,1871683,66.2019043,-3.700000048,13.44205666,OnLine,30.9329586,25.77896881,46.90151978,88.27259827,8.4568367,106.194191,151,10.60172081,1.226998687
3314,WTG-B,13-Oct-21 00:10:00,5435677,8.714174271,8.83884716,8.531702995,8.655773163,8.184800148,8.308392525,1601933,2818.274658,-3278.5,2490.604736,1929955,67.46517944,-3.700000048,13.2273531,OnLine,33.40407562,26.24837685,48.95098877,88.72305298,6.301161766,178.2403564,155,13.9578886,1
3458,WTG-B,14-Oct-21 00:10:00,5502037,1.369191408,1.802617669,1.188508511,1.621204257,0.831412375,1.267038822,1602236,74.7036438,-3278.5,80.10906219,1947547,59.88280869,-3.700000048,7.460935116,OnLine,28.24311066,26.32586479,39.15749359,49.67360306,15.02698708,47.33546448,128,3.29994607,4
3602,WTG-B,15-Oct-21 00:10:00,5570298,-0.115735337,-0.361629754,-0.290928423,-0.543043196,-0.657289863,-0.897208631,1602236,330.2197266,-3278.5,336.7604675,1950464,62.2572403,-3.700000048,7.460400105,OnLine,25.63128662,21.71891022,38.13462067,51.86432648,10.60662842,71.5662384,18,4.681169987,3.774568081
3746,WTG-B,16-Oct-21 00:10:00,5655914,-0.561269462,-0.482809782,-0.744605422,-0.664223194,-1.097093344,-1.018388629,1602236,691.845459,-3278.5,405.1621094,2000684,60.32691574,-3.700000048,7.473752022,OnLine,24.9814949,19.77170944,43.68921661,51.90185165,8.362477303,19.73832321,0,5.932197094,1
3890,WTG-B,17-Oct-21 00:10:00,5734466,-0.594764054,-0.613608181,-0.777342021,-0.795021594,-1.129936457,-1.149186969,1602236,1212.946899,-3278.5,1235.303467,2010535,63.53253174,-3.700000048,10.64744473,OnLine,17.76414108,21.74053955,41.60914993,69.94847107,9.910155296,47.33546448,215,7.142755985,1
