,turbine,blade1actual,blade1set,blade2actual,blade2set,blade3actual,blade3set,expected power,gearbearing int temp,power,production,gearbox bearing temp,rotor bearing 2 temp,rotor speed,state and fault,generating outboard bearing temp,hub temp,shaft bearing temp,tip speed,tip speed ratio,tower accel,wind dir,wind speed,yaw dev
28946,WTG-G,85.00696564,83.37306213,85.00489044,83.37306213,85.00588226,83.37306213,1.821810961,61.76588058,-20.30804634,4281563,53.58340836,-3.700000048,0.098492533,Weather Outage,26.55149841,20.40163422,36.51060104,0.623598516,Calc Failed,7.103848934,116,0.010129043,85
29090,WTG-G,32.22449493,32.09432602,32.21238708,32.09432602,32.21559525,32.09432602,2747.889404,60.16539383,-16.92037582,4316142,51.97489548,-3.700000048,5.003644943,RunUp,38.44439697,29.92861938,42.75989914,32.08815384,2.802228689,203.5827942,163,11.09235001,3
29234,WTG-G,1.220337868,1.186446548,1.213823915,1.186446548,1.218442202,1.186446548,2412.710449,70.69682312,2229.295654,4328640,69.4593277,-3.700000048,13.28322029,OnLine,34.36223984,26.79230881,43.65741348,87.65921783,9.176490784,145.2578278,50,9.665967941,1.771524072
29378,WTG-G,85.01075745,79.26088715,85.00428772,79.26088715,85.01247406,79.26088715,2412.972412,64.0176239,-11.59139156,4358737,57.39577484,-3.700000048,0,External Curtailment,31.62437248,22.97800827,40.85278702,0.936153233,0,38.00181198,103,9.598395348,8
29522,WTG-G,8.430711746,7.970705032,9.591701508,9.27837944,8.456012726,8.563313484,2747.286133,74.48958588,2828.028076,4407381,73.24951172,-3.700000048,13.50114632,OnLine,40.34753036,34.05552292,51.11893082,89.01713562,7.166346073,257.3339539,170,12.40930939,0
29666,WTG-G,-0.322834045,-0.719717503,-0.332503617,-0.719717503,-0.323840111,-0.719717503,332.6998901,65.8638382,381.1551208,4453588,61.59526443,-3.700000048,7.430905342,OnLine,24.78933716,17.80202484,37.66719818,49.74992752,10.66195297,41.59745789,69,4.650660515,4
29810,WTG-G,0.827639341,0.195406139,3.568440199,3.582121134,-0.019656165,0.601501882,2503.875977,72.36898804,2346.169434,4478094,70.39354706,-3.700000048,13.41254044,OnLine,31.59974098,24.26945686,43.83172607,87.89342499,9.067292213,108.0321503,140,9.816216469,8.732597351
29954,WTG-G,8.211619377,7.828055859,7.082738876,7.247375011,6.682766914,6.733477116,2231.117432,70.90000153,1654.560669,4525297,68.4984436,-3.700000048,13.27555084,OnLine,30.48133659,26.76437187,47.48265457,89.7644577,9.925367355,151.4689636,34,9.089312553,10
30098,WTG-G,-0.841844976,-0.636444807,-0.854433835,-0.636444807,-0.851887882,-0.636444807,801.1326904,67.87844086,746.9060059,4570468,65.28987885,-3.700000048,9.000419617,OnLine,29.42993736,17.9230175,38.15929413,59.35289383,9.843823433,34.65563965,77,6.126530647,6
30242,WTG-G,-0.866057813,-0.842295885,-0.83441776,-0.842295885,-0.678313851,-0.842295885,1456.264038,71.59112549,1612.662598,4582887,69.21183014,-3.700000048,11.53579426,OnLine,29.20653915,18.70479202,40.18559647,74.59059906,10.18464375,58.42133331,74,7.544827461,2
