,turbine,blade1actual,blade1set,blade2actual,blade2set,blade3actual,blade3set,expected power,gearbearing int temp,power,production,gearbox bearing temp,rotor bearing 2 temp,rotor speed,state and fault,generating outboard bearing temp,hub temp,shaft bearing temp,tip speed,tip speed ratio,tower accel,wind dir,wind speed,yaw dev,Turbine,WTG-B (2.82-FDR 2A) - BLADE 1 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 1 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - SET VALUE,WTG-B (2.82-FDR 2A) - EXPECTED POWER,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE INTERMEDIATE SHAFT GENERATOR SIDE (ROTOR SIDE),WTG-B (2.82-FDR 2A) - POWER,WTG-B (2.82-FDR 2A) - PRODUCTION,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR BEARING 2 TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR SPEED (PLC),WTG-B (2.82-FDR 2A) - STATE AND FAULT,WTG-B (2.82-FDR 2A) - GENERATOR OUTBOARD BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - HUB TEMPERATURE,WTG-B (2.82-FDR 2A) - SHAFT BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - TIP SPEED,WTG-B (2.82-FDR 2A) - TIP SPEED RATIO,WTG-B (2.82-FDR 2A) - TOWER ACCELERATION,WTG-B (2.82-FDR 2A) - WIND DIRECTION,WTG-B (2.82-FDR 2A) - WIND SPEED,WTG-B (2.82-FDR 2A) - YAW DEVIATION
44786,WTG-D,-0.666186035,-0.627967536,-1.309781432,-1.048860073,-0.835559964,-0.884407043,1155.35144,-3278.5,1350.116211,6421506,67.7342453,-3.700000048,11.74253559,OnLine,42.30531693,39.00930023,46.14398193,69.61367798,9.367728233,155.4348907,113,7.606740475,6.0,,,,,,,,,,,,,,,,,,,,,,,,
44930,WTG-D,-0.656829655,-0.775610626,-0.839984953,-0.853230536,-0.932481587,-0.963715017,748.880249,-3278.5,765.923645,6447587,66.04114532,-3.700000048,9.734549522,OnLine,39.220047,36.94251251,44.17196274,60.92445755,9.007123947,92.02381897,79,6.583473682,3.789937258,,,,,,,,,,,,,,,,,,,,,,,,
45074,WTG-D,-0.640645027,-0.635266244,-1.016785741,-1.02110374,-0.933466554,-0.933053255,1002.54895,-3278.5,1062.99292,6460620,62.40472031,-3.700000048,10.67478561,OnLine,34.77960205,30.01315117,38.48083115,65.39220428,9.014289856,89.35668182,87,7.260338783,1.770522118,,,,,,,,,,,,,,,,,,,,,,,,
45218,WTG-D,-0.147056535,-0.237409472,-0.54166019,-0.623247027,-0.45009318,-0.535196483,181.546463,-3278.5,282.1376038,6468727,59.51425934,-3.700000048,7.438111782,OnLine,37.14635849,31.88466263,36.91144562,47.79366302,10.57458782,129.9204559,131,4.272770405,2.0,,,,,,,,,,,,,,,,,,,,,,,,
45362,WTG-D,-0.677099705,-0.608894527,-1.021977425,-0.994731963,-0.93011272,-0.906681538,495.3266907,-3278.5,606.375061,6487777,62.45394516,-3.700000048,9.081391335,OnLine,38.81541443,33.87654114,40.49790192,57.0844841,9.615511894,102.7159729,137,5.759475231,9.0,,,,,,,,,,,,,,,,,,,,,,,,
45506,WTG-D,1.759483814,1.843601465,0.159081742,0.320449561,0.651887834,0.49428308,2458.009277,-3278.5,2460.136475,6522912,68.96131134,-3.700000048,13.47174644,OnLine,43.81793213,43.07644272,46.14822388,80.11222076,7.231049538,179.3512421,194,11.35283852,1.0,,,,,,,,,,,,,,,,,,,,,,,,
45650,WTG-D,9.25157547,9.295602798,4.846798897,5.315975189,6.882535934,6.517848492,2038.911133,-3278.5,2351.765869,6565080,70.07115173,-3.700000048,13.41570377,OnLine,47.65892792,46.84706879,48.59077072,81.7603302,8.488507271,289.7880859,183,9.575131416,9.0,,,,,,,,,,,,,,,,,,,,,,,,
45794,WTG-D,3.862010479,3.992776394,0.320918679,0.603744626,2.32200408,2.107234955,2487.150146,-3278.5,2547.36084,6610259,69.85020447,-3.700000048,13.35848331,OnLine,48.621418,46.19155121,48.92227936,81.56409454,6.914793968,225.0067291,185,11.72913933,2.630097151,,,,,,,,,,,,,,,,,,,,,,,,
45938,WTG-D,7.251570225,7.302704811,4.580294609,4.744117737,6.55500555,6.403689384,2500.0,-3278.5,2559.953125,6636335,69.13996124,-3.700000048,13.36940384,OnLine,42.79415894,40.85057068,46.61983871,81.58692169,6.424742699,194.9494629,124,12.68015194,15.0,,,,,,,,,,,,,,,,,,,,,,,,
46082,WTG-D,4.52342701,4.389044285,1.464783907,1.698898554,1.538508892,1.303540945,2500.0,-3278.5,2536.404053,6662408,69.35044861,-3.700000048,13.55252647,OnLine,46.24250031,43.97595978,46.75842667,81.12879181,6.452942371,221.7661896,189,12.69441032,1.0,,,,,,,,,,,,,,,,,,,,,,,,
46226,WTG-D,1.644714355,1.529025555,2.502856255,2.410837889,1.860537052,1.905021071,1689.264893,-3278.5,2474.063232,6705578,69.40093231,-3.700000048,13.16092777,OnLine,45.60002136,44.95811462,47.65833664,81.57941437,9.193926811,223.5026855,185,8.719651222,8.0,,,,,,,,,,,,,,,,,,,,,,,,
46370,WTG-D,0.74384886,0.890722513,-0.458636075,-1.909367681,0.468007505,0.44464913,2276.863037,-3278.5,2033.32373,6736693,68.66530609,-3.700000048,13.29297543,OnLine,44.55685425,43.03386307,46.04833603,78.33679199,8.037176132,208.4753571,188,10.08393955,2.221323013,,,,,,,,,,,,,,,,,,,,,,,,
46514,WTG-D,-0.671157181,-0.676737189,-0.999465883,-1.088207841,-0.961593628,-0.856603682,856.9056396,-3278.5,558.3887939,6753238,61.85366058,-3.700000048,8.986392021,OnLine,38.28858948,37.89417648,43.67812729,52.4784317,7.863061905,132.7338409,83,6.794788837,8.0,,,,,,,,,,,,,,,,,,,,,,,,
46658,WTG-D,72.18627167,73.00485992,71.33213043,73.00485992,72.17382813,73.00485992,2.918142796,-3278.5,-13.55638981,6759304,56.36307907,-3.700000048,0.152866721,OK,36.92977905,35.09462738,39.79270172,1.035258532,0,8.433959007,43,1.626443863,16.0,,,,,,,,,,,,,,,,,,,,,,,,
46802,WTG-D,84.99956512,84.93530273,84.9994812,84.93530273,84.99914551,84.93530273,12.72183037,-3278.5,-19.33533669,6761405,55.79999924,-3.700000048,1.006144881,Weather Outage,40.49662399,37.9188652,40.94518661,8.063794136,2.760175705,51.6022377,105,2.443543673,24.0,,,,,,,,,,,,,,,,,,,,,,,,
