,turbine,date & time,op time,blade1actual,blade1set,blade2actual,blade2set,blade3actual,blade3set,down time,expected power,gearbearing int temp,power,production,gearbox bearing temp,rotor bearing 2 temp,rotor speed,state and fault,generating outboard bearing temp,hub temp,shaft bearing temp,tip speed,tip speed ratio,tower accel,wind dir,wind speed,yaw dev
2594,WTG-C,08-Oct-21 00:10:00,4337459,0.693554699,0.700811148,0.696457744,0.700811148,0.834369659,0.842010796,1660679,1289.6427,63.57976151,2311.421143,1339706,73.19999695,-3.700000048,13.33137989,OnLine,40.25476074,30.91025352,51.53714371,86.31059265,12.12725449,69.55353546,142,7.288843155,6
2738,WTG-C,09-Oct-21 00:10:00,4424085,7.460940361,7.594445705,7.465635777,7.594445705,7.469269276,7.556324482,1660679,2506.529053,63.71489334,2477.445557,1369827,73.5,-3.700000048,13.43267632,OnLine,42.6135788,33.78644943,53.32860184,87.90274048,9.018336296,117.1331024,183,9.823072433,0.326414883
2882,WTG-C,10-Oct-21 00:10:00,4510697,9.830203056,9.95897007,9.84240818,9.95897007,10.01067162,9.955533028,1660679,2632.806396,63.91932297,2425.99707,1423045,73.7599411,-3.700000048,13.43045998,OnLine,42.05609894,33.74207687,54.7636528,88.91999054,8.671840668,89.52881622,172,10.29951572,1
3026,WTG-C,11-Oct-21 00:10:00,4588235,17.26519203,17.17602539,15.13088608,15.31817722,16.9619503,17.13859749,1663110,2820,62.67094803,2268.201416,1455587,72.30000305,-3.700000048,13.2931776,OnLine,29.87905884,19.11371803,46.40011978,89.97275543,5.390256405,226.4776611,10,16.6625576,4.273806095
3170,WTG-C,12-Oct-21 00:10:00,4660750,2.209629536,2.230820656,2.290248394,2.230820656,2.136962414,2.236999035,1663110,2177.093994,64.0311203,2797.689697,1486910,73.82886505,-3.700000048,13.45876408,OnLine,35.54964828,24.67212296,45.14030075,90.30747223,9.956000328,106.9533539,140,9.011603355,4
3314,WTG-C,13-Oct-21 00:10:00,4697086,13.56194878,13.59757042,12.86556339,12.84200478,14.07767487,14.1193924,1665118,999.4816895,57.8424263,1130.05249,1511615,64.30584717,-3.700000048,12.90279579,OnLine,37.49079132,24.07765388,35.22637558,86.12490082,12.85823441,116.6441574,134,6.67407465,1
3458,WTG-C,14-Oct-21 00:10:00,4751589,1.646884799,1.641525269,1.64970994,1.641525269,1.653720737,1.646355033,1665175,20.1568718,56.61927795,85.46850586,1527137,61.21973038,-3.700000048,7.476305008,OnLine,36.72715378,23.91221046,38.18586349,49.8853035,22.86364174,63.75018311,92,2.165328264,22
3602,WTG-C,15-Oct-21 00:10:00,4819627,-0.748977482,-0.667318761,-0.97026813,-0.920870483,-0.799088717,1.517967105,1666008,150.8181305,58.26472855,416.1834717,1530703,64.77696228,-3.700000048,7.573421001,OnLine,33.5219841,21.6969738,38.14290619,50.385849,13.48763752,27.86684799,39,3.76736474,2
3746,WTG-C,16-Oct-21 00:10:00,4889118,88.71825409,88.13105011,88.5557785,88.13105011,87.04132843,85.52811432,1673126,2136.828857,51.20035934,-14.34890366,1563225,52.18811417,-3.700000048,0.095905937,Weather Outage,27.93212891,19.84284019,36.70861816,1.025308251,0,52.58169174,28,10.06736755,24
3890,WTG-C,17-Oct-21 00:10:00,4940454,-0.716097713,-0.704524875,-0.973632872,-0.938821197,-0.782821894,-0.770709038,1673410,696.302063,53.77544022,1370.34375,1568095,62.83135986,-3.700000048,11.0775547,OnLine,31.5951786,20.79855347,39.59728622,70.75676727,12.44538593,55.73369598,212,5.939859867,0.511505246
4034,WTG-C,18-Oct-21 00:10:00,4984751,85.007164,79.84356689,84.99981689,79.84356689,84.99747467,81.90519714,1684884,2820,49.7729454,-6.733674526,1579273,48.84552765,-3.700000048,0.721472442,Fault 1353,32.79047775,21.79952431,36.09897614,5.268998146,0.29266268,15.46994114,128,15.65181065,47.22623062
4178,WTG-C,19-Oct-21 00:10:00,5042106,7.200361729,7.218467236,6.951385021,6.964915752,7.218788147,7.2229743,1702795,710.5405884,62.59999847,1552.331787,1607785,72.11784363,-3.700000048,12.95873928,OnLine,33.04827881,22.97494507,46.59264374,87.95808411,14.43698025,117.1346664,153,5.986879826,4
4322,WTG-C,20-Oct-21 00:10:00,5122689,9.800889969,9.873663902,9.767288208,9.813383102,9.918369293,10.07876015,1702795,2275.542236,63.28119278,2323.490479,1650970,72.6373291,-3.700000048,13.42474461,OnLine,36.18845749,26.09052467,49.91627502,87.60203552,9.290327072,148.7916718,155,9.638888359,1.25524509
4466,WTG-C,21-Oct-21 00:10:00,5208310,-0.767006397,-0.246779233,-0.973564863,-0.500330985,-0.842965126,-0.329561204,1702795,122.8076935,58.79214096,357.4607239,1679071,64.81295776,-3.700000048,7.463816643,OnLine,32.64433289,21.89235115,43.04787064,51.88969421,13.70250893,19.64062691,346,3.630313873,3
4610,WTG-C,22-Oct-21 00:10:00,5265011,-0.68500638,-0.738491118,-0.937644601,-0.99204284,-0.813016713,-0.814290166,1702795,228.5710297,58.29999924,575.5180664,1684383,65.77458954,-3.700000048,8.386556625,OnLine,35.1440773,21.75946045,39.56158829,58.56252289,13.21748352,32.7673111,140,4.223292828,6
4754,WTG-C,23-Oct-21 00:10:00,5351644,1.590992332,1.613828897,1.332378507,1.360277176,1.51433444,1.499015927,1702795,1105.77417,63.14890671,2496.263184,1710463,72.80000305,-3.700000048,13.43789577,OnLine,37.20537949,25.66326141,47.91983414,87.16661835,12.92399311,71.43231964,145,6.922559261,3
4898,WTG-C,24-Oct-21 00:10:00,5437258,11.15974522,11.23254395,10.89933395,10.97845936,11.25718784,11.28377914,1702795,2810.703857,63.56606293,2874.672119,1766739,73.16270447,-3.700000048,13.42646408,OnLine,40.98773956,29.86297035,52.33454895,90.67347717,7.33108902,209.8730316,172,12.18148422,6
5042,WTG-C,25-Oct-21 00:10:00,5512817,1.648932576,0.331355304,1.429418206,0.077803582,1.580288291,0.649867535,1702795,17.96382523,56.64819717,-1.45898819,1807935,60.18230057,-3.700000048,7.44402504,OnLine,35.51501465,27.06675911,43.29999924,50.86621094,24.83935356,47.52110291,308,1.995980501,19
5186,WTG-C,26-Oct-21 00:10:00,5586339,2.061939955,2.097760201,1.808626413,1.844208598,2.036575794,1.940142751,1702795,1800.679199,61.0877037,2602.703857,1827371,70.0051651,-3.700000048,13.40111256,OnLine,28.1498127,18.04037094,44.81703949,88.39870453,10.81782341,153.5305481,97,8.274591446,4
5330,WTG-C,27-Oct-21 00:10:00,5672964,8.788505554,8.616323471,9.042917252,9.125408173,9.007277489,8.961669922,1702795,2818.773193,63.40921783,2859.782959,1884642,72.89099884,-3.700000048,13.43764591,OnLine,38.62787628,27.01127625,49.62207031,89.49044037,7.097274303,240.3229523,154,12.53741932,7
5474,WTG-C,28-Oct-21 00:10:00,5759575,7.533398151,7.322197914,6.380722046,6.843820572,6.320263863,5.996179104,1702795,2474.701416,62.77021027,2787.459961,1943923,71.67539215,-3.700000048,13.3666935,OnLine,28.43837929,17.77268219,45.66780853,89.20500183,9.049789429,199.1943817,311,9.924007416,11
5618,WTG-C,29-Oct-21 00:10:00,5846221,8.15541172,8.476774216,10.39680958,10.04734898,9.168294907,9.264164925,1702795,2819.593994,62.40391159,2832.280762,2009245,71.5,-3.700000048,13.54179001,OnLine,29.72700882,19.00932503,46.20243454,88.64692688,6.316558838,260.3317871,318,14.33434582,2
5762,WTG-C,30-Oct-21 00:10:00,5925767,-0.321900427,-0.425414205,-0.97177577,-0.678965926,-0.843158424,-0.507537901,1702795,354.1835938,56.68247223,376.2078552,2060506,63.19361877,-3.700000048,7.470766068,OnLine,29.25043678,18.33691216,43.66865158,52.45286942,10.50711155,69.77111053,19,4.753847599,0
5906,WTG-C,31-Oct-21 00:10:00,5993256,0.274523318,0.255332321,0.025627529,0.001780596,0.221536726,0.168694422,1702795,400.6783447,59.90531158,285.5415649,2069176,65.35837555,-3.700000048,7.477359772,OnLine,33.68445969,22.81023979,41.00909042,51.85821152,10.09792614,99.45976257,205,4.917969227,1.225987077
6050,WTG-C,01-Nov-21 00:10:00,6079882,0.63613832,0.6641559,0.397812963,0.410604239,0.53665936,0.527075648,1702795,1787.906616,59.6092186,2119.519775,2118392,68.16525269,-3.700000048,12.96369267,OnLine,25.47580147,14.99466515,44.19997406,86.86262512,10.45286751,72.0157547,59,8.237916946,3.291373968
9362,WTG-C,23-Nov-21 23:10:00,6147480,20.07604408,19.84625435,19.81131554,19.59264565,19.77993393,19.71993065,1705445,2819.804932,54.05356979,242.0645142,2148723,55.90914536,-3.700000048,8.009942055,OnLine,31.91628075,19.78565216,34.75331497,55.4562912,3.847509384,160.3327179,180,13.83216667,0.331741333
9506,WTG-C,24-Nov-21 23:10:00,6209099,84.99946594,85,84.99943542,85,85.02206421,85,1705445,2820,53.41057968,-16.71809769,2186068,58.2400856,-3.700000048,0.508524895,External Curtailment,28.85371208,15.21360588,40.88586426,0.726957679,0.155985072,108.2272797,-21,16.70062447,22
9650,WTG-C,25-Nov-21 23:10:00,6248613,1.539856791,1.283049703,1.298878551,1.029497981,1.45232892,1.306570888,1705445,300.0576172,48.40887833,127.4496765,2203507,53.26781464,-3.700000048,7.453084469,OnLine,17.72889137,9.847176552,30.46011543,51.00455856,10.95440674,58.97639847,182,4.537303925,10.77560425
9794,WTG-C,26-Nov-21 23:10:00,6335234,3.066185474,3.17508626,2.803345442,2.921534538,2.970349789,2.936917782,1705445,2086.854492,61.7608757,2824.183838,2241690,71.14455414,-3.700000048,13.4232378,OnLine,28.03548813,17.10322762,43.74181366,88.25801849,10.12541103,84.06569672,188,8.807341576,4
